Year,Pesticide Type,Usage
1999,Fungicides and Bactericides,3000.0
2000,Fungicides and Bactericides,2398.65
2001,Fungicides and Bactericides,2343.78
2002,Fungicides and Bactericides,1909.61
2003,Fungicides and Bactericides,2322.86
2004,Fungicides and Bactericides,2599.38
2005,Fungicides and Bactericides,2458.45
2006,Fungicides and Bactericides,2572.46
2007,Fungicides and Bactericides,2324.91
2008,Fungicides and Bactericides,3076.5
2009,Fungicides and Bactericides,2727.56
2010,Fungicides and Bactericides,3021.61
2011,Fungicides and Bactericides,3413.1
2012,Fungicides and Bactericides,3488.69
2013,Fungicides and Bactericides,3237.13
2014,Fungicides and Bactericides,3572.49
2015,Fungicides and Bactericides,3648.74
2016,Fungicides and Bactericides,4544.05
2017,Fungicides and Bactericides,3672.45
2018,Fungicides and Bactericides,3672.45
2019,Fungicides and Bactericides,3672.45
2020,Fungicides and Bactericides,3672.45
2021,Fungicides and Bactericides,3672.45
2022,Fungicides and Bactericides,3672.45
1990,Fungicides and Bactericides,1683.0
1991,Fungicides and Bactericides,1843.0
1992,Fungicides and Bactericides,1483.0
1993,Fungicides and Bactericides,1580.0
1994,Fungicides and Bactericides,1560.0
1995,Fungicides and Bactericides,1409.0
1996,Fungicides and Bactericides,1697.0
1997,Fungicides and Bactericides,1685.0
1998,Fungicides and Bactericides,1473.0
1999,Fungicides and Bactericides,1393.0
2000,Fungicides and Bactericides,1598.4
2001,Fungicides and Bactericides,1335.7
2002,Fungicides and Bactericides,1299.9
2003,Fungicides and Bactericides,1706.4
2004,Fungicides and Bactericides,1487.8
2005,Fungicides and Bactericides,1644.6
2006,Fungicides and Bactericides,1434.3
2007,Fungicides and Bactericides,1327.0
2008,Fungicides and Bactericides,1960.8
2009,Fungicides and Bactericides,1710.1
2010,Fungicides and Bactericides,1684.6
2011,Fungicides and Bactericides,1554.5
2012,Fungicides and Bactericides,1638.2
2013,Fungicides and Bactericides,1492.8
2014,Fungicides and Bactericides,1641.06
2015,Fungicides and Bactericides,2130.97
2016,Fungicides and Bactericides,2006.54
2017,Fungicides and Bactericides,1991.64
2018,Fungicides and Bactericides,2268.66
2019,Fungicides and Bactericides,2068.06
2020,Fungicides and Bactericides,1931.28
2021,Fungicides and Bactericides,2004.63
2022,Fungicides and Bactericides,2426.61
1992,Fungicides and Bactericides,94.65
1993,Fungicides and Bactericides,94.65
1994,Fungicides and Bactericides,94.65
1995,Fungicides and Bactericides,94.65
1996,Fungicides and Bactericides,94.65
1997,Fungicides and Bactericides,94.65
1998,Fungicides and Bactericides,94.65
1999,Fungicides and Bactericides,94.65
2000,Fungicides and Bactericides,94.65
2001,Fungicides and Bactericides,94.65
2002,Fungicides and Bactericides,94.65
2003,Fungicides and Bactericides,94.65
2004,Fungicides and Bactericides,94.65
2005,Fungicides and Bactericides,94.65
2006,Fungicides and Bactericides,94.65
2007,Fungicides and Bactericides,94.65
2008,Fungicides and Bactericides,131.54
2009,Fungicides and Bactericides,183.56
2010,Fungicides and Bactericides,158.68
2011,Fungicides and Bactericides,266.7
2012,Fungicides and Bactericides,271.5
2013,Fungicides and Bactericides,269.26
2014,Fungicides and Bactericides,276.72
2015,Fungicides and Bactericides,270.89
2016,Fungicides and Bactericides,280.42
2017,Fungicides and Bactericides,280.42
2018,Fungicides and Bactericides,280.42
2019,Fungicides and Bactericides,280.42
2020,Fungicides and Bactericides,280.42
2021,Fungicides and Bactericides,280.42
