Year,Pesticide Type,Usage
2013,Insecticides,2.26
2014,Insecticides,1.73
2015,Insecticides,1.81
2016,Insecticides,1.23
2017,Insecticides,0.43
2018,Insecticides,0.42
2019,Insecticides,0.31
2020,Insecticides,0.19
2021,Insecticides,0.29
2022,Insecticides,0.29
1990,Insecticides,81.41
1991,Insecticides,99.0
1992,Insecticides,66.0
1993,Insecticides,67.0
1994,Insecticides,47.0
1995,Insecticides,49.0
1996,Insecticides,87.0
1997,Insecticides,115.54
1998,Insecticides,46.0
1999,Insecticides,27.3
2000,Insecticides,59.45
2001,Insecticides,23.32
2002,Insecticides,200.6
2003,Insecticides,12.97
2004,Insecticides,13.38
2005,Insecticides,53.36
2006,Insecticides,29.59
2007,Insecticides,33.8
2008,Insecticides,34.97
2009,Insecticides,43.31
2010,Insecticides,99.75
2011,Insecticides,156.82
2012,Insecticides,159.54
2013,Insecticides,332.75
2014,Insecticides,240.74
2015,Insecticides,197.65
2016,Insecticides,249.95
2017,Insecticides,250.84
2018,Insecticides,287.29
2019,Insecticides,308.34
2020,Insecticides,231.87
2021,Insecticides,275.68
2022,Insecticides,469.92
1990,Insecticides,81.53
1991,Insecticides,81.53
1992,Insecticides,81.53
1993,Insecticides,81.53
1994,Insecticides,81.53
1995,Insecticides,81.53
1996,Insecticides,81.53
1997,Insecticides,81.53
1998,Insecticides,68.6
1999,Insecticides,62.98
2000,Insecticides,79.69
2001,Insecticides,61.52
2002,Insecticides,43.34
2003,Insecticides,25.17
2004,Insecticides,7.0
2005,Insecticides,177.49
2006,Insecticides,141.65
2007,Insecticides,338.49
2008,Insecticides,305.3
2009,Insecticides,192.22
2010,Insecticides,357.61
2011,Insecticides,181.42
2012,Insecticides,387.64
2013,Insecticides,630.42
2014,Insecticides,574.71
2015,Insecticides,615.71
2016,Insecticides,656.71
2017,Insecticides,697.71
2018,Insecticides,738.71
2019,Insecticides,779.7
2020,Insecticides,820.7
2021,Insecticides,688.84
2022,Insecticides,1195.11
1990,Insecticides,3763.99
1991,Insecticides,3774.94
1992,Insecticides,3903.52
1993,Insecticides,4219.68
1994,Insecticides,4231.44
1995,Insecticides,4360.32
1996,Insecticides,4434.81
1997,Insecticides,4519.87
1998,Insecticides,4289.52
1999,Insecticides,4624.1
2000,Insecticides,4773.44
2001,Insecticides,4895.65
2002,Insecticides,4997.12
2003,Insecticides,5380.54
2004,Insecticides,5691.93
2005,Insecticides,5938.8
2006,Insecticides,6527.95
2007,Insecticides,7766.92
2008,Insecticides,12026.77
2009,Insecticides,14697.59
2010,Insecticides,15394.1
2011,Insecticides,7349.16
2012,Insecticides,4102.81
2013,Insecticides,5008.18
2014,Insecticides,3873.08
2015,Insecticides,5029.09
2016,Insecticides,5438.68
2017,Insecticides,4205.99
2018,Insecticides,3401.9
2019,Insecticides,4274.68
2020,Insecticides,4623.04
2021,Insecticides,7308.87
2022,Insecticides,4318.27
1990,Insecticides,30.16
1991,Insecticides,30.16
1992,Insecticides,30.16
1993,Insecticides,30.16
1994,Insecticides,30.18
1995,Insecticides,30.68
1996,Insecticides,33.59
1997,Insecticides,78.56
1998,Insecticides,84.46
1999,Insecticides,106.96
2000,Insecticides,63.34
2001,Insecticides,64.41
2002,Insecticides,45.63
2003,Insecticides,49.43
2004,Insecticides,50.85
2005,Insecticides,97.64
2006,Insecticides,110.22
2007,Insecticides,107.05
2008,Insecticides,58.59
2009,Insecticides,52.63
2010,Insecticides,62.8
2011,Insecticides,64.06
2012,Insecticides,55.78
2013,Insecticides,54.64
2014,Insecticides,64.02
2015,Insecticides,71.07
2016,Insecticides,268.77
2017,Insecticides,231.94
2018,Insecticides,237.54
2019,Insecticides,142.64
2020,Insecticides,164.49
2021,Insecticides,187.27
2022,Insecticides,196.11
1990,Insecticides,247.07
1991,Insecticides,141.05
1992,Insecticides,91.45
1993,Insecticides,85.7
1994,Insecticides,79.94
1995,Insecticides,74.19
1996,Insecticides,68.43
1997,Insecticides,62.68
1998,Insecticides,56.92
1999,Insecticides,51.17
2000,Insecticides,45.41
2001,Insecticides,39.66
2002,Insecticides,33.9
2003,Insecticides,28.15
2004,Insecticides,22.39
2005,Insecticides,16.64
2006,Insecticides,11.19
2007,Insecticides,10.31
2008,Insecticides,16.79
2009,Insecticides,6.73
2010,Insecticides,7.01
2011,Insecticides,6.35
2012,Insecticides,3.26
2013,Insecticides,3.26
2014,Insecticides,3.26
2015,Insecticides,3.26
2016,Insecticides,3.26
2017,Insecticides,3.26
2018,Insecticides,3.26
2019,Insecticides,3.26
2020,Insecticides,3.26
2021,Insecticides,3.26
2022,Insecticides,3.26
1990,Insecticides,47.0
1991,Insecticides,47.0
1992,Insecticides,47.0
1993,Insecticides,47.0
1994,Insecticides,104.0
1995,Insecticides,47.0
1996,Insecticides,13.0
1997,Insecticides,51.4
1998,Insecticides,43.43
1999,Insecticides,38.0
2000,Insecticides,47.0
2001,Insecticides,23.5
2002,Insecticides,19.74
2003,Insecticides,15.98
2004,Insecticides,12.21
2005,Insecticides,8.45
2006,Insecticides,4.69
2007,Insecticides,0.93
2008,Insecticides,2.02
2009,Insecticides,3.11
2010,Insecticides,4.2
2011,Insecticides,5.29
2012,Insecticides,5.11
2013,Insecticides,5.65
2014,Insecticides,4.89
2015,Insecticides,5.15
2016,Insecticides,0.41
2017,Insecticides,3.31
2018,Insecticides,4.25
2019,Insecticides,3.59
2020,Insecticides,3.15
2021,Insecticides,0.59
2022,Insecticides,2.7
1990,Insecticides,58.89
1991,Insecticides,58.35
1992,Insecticides,48.74
1993,Insecticides,33.32
1994,Insecticides,15.75
1995,Insecticides,9.46
1996,Insecticides,8.42
1997,Insecticides,11.48
1998,Insecticides,13.47
1999,Insecticides,15.21
2000,Insecticides,16.68
2001,Insecticides,15.37
2002,Insecticides,16.3
2003,Insecticides,36.49
2004,Insecticides,43.77
2005,Insecticides,41.11
2006,Insecticides,24.55
2007,Insecticides,28.46
2008,Insecticides,33.23
2009,Insecticides,32.81
2010,Insecticides,41.88
2011,Insecticides,56.68
2012,Insecticides,132.47
2013,Insecticides,212.45
2014,Insecticides,266.53
2015,Insecticides,265.94
2016,Insecticides,272.02
2017,Insecticides,310.89
2018,Insecticides,357.31
2019,Insecticides,370.28
2020,Insecticides,353.6
2021,Insecticides,393.95
2022,Insecticides,413.87
1990,Insecticides,81.0
1991,Insecticides,88.11
1992,Insecticides,95.22
1993,Insecticides,102.32
1994,Insecticides,109.43
1995,Insecticides,184.45
1996,Insecticides,105.4
1997,Insecticides,192.2
1998,Insecticides,132.68
1999,Insecticides,164.3
2000,Insecticides,136.09
2001,Insecticides,187.55
2002,Insecticides,234.05
2003,Insecticides,250.79
2004,Insecticides,199.02
2005,Insecticides,219.17
2006,Insecticides,399.28
2007,Insecticides,200.88
2008,Insecticides,199.95
2009,Insecticides,259.47
2010,Insecticides,293.88
2011,Insecticides,280.24
2012,Insecticides,261.33
2013,Insecticides,291.71
2014,Insecticides,251.1
2015,Insecticides,298.53
2016,Insecticides,259.16
2017,Insecticides,274.81
2018,Insecticides,290.47
2019,Insecticides,255.13
2020,Insecticides,272.49
2021,Insecticides,253.58
2022,Insecticides,361.77
1990,Insecticides,10.46
1991,Insecticides,10.63
1992,Insecticides,10.91
1993,Insecticides,11.11
1994,Insecticides,11.23
1995,Insecticides,11.3
1996,Insecticides,11.39
1997,Insecticides,11.43
1998,Insecticides,11.37
1999,Insecticides,11.26
2000,Insecticides,12.75
2001,Insecticides,17.73
2002,Insecticides,20.34
2003,Insecticides,21.53
2004,Insecticides,19.89
2005,Insecticides,26.95
2006,Insecticides,26.42
2007,Insecticides,24.81
2008,Insecticides,17.49
2009,Insecticides,16.67
2010,Insecticides,16.04
2011,Insecticides,15.59
2012,Insecticides,15.23
2013,Insecticides,15.0
2014,Insecticides,14.89
2015,Insecticides,14.8
2016,Insecticides,14.67
2017,Insecticides,14.5
2018,Insecticides,14.4
2019,Insecticides,14.38
2020,Insecticides,14.38
2021,Insecticides,14.37
2022,Insecticides,14.35
1990,Insecticides,5852.18
1991,Insecticides,5852.18
1992,Insecticides,5852.18
1993,Insecticides,5852.18
1994,Insecticides,5852.18
1995,Insecticides,5852.18
1996,Insecticides,5852.18
1997,Insecticides,5852.18
1998,Insecticides,5852.18
1999,Insecticides,5852.18
2000,Insecticides,5852.18
2001,Insecticides,4720.06
2002,Insecticides,3053.67
2003,Insecticides,4105.84
2004,Insecticides,4809.77
2005,Insecticides,5948.28
2006,Insecticides,6122.5
2007,Insecticides,8430.76
2008,Insecticides,7798.05
2009,Insecticides,8067.44
2010,Insecticides,8268.01
2011,Insecticides,9555.13
2012,Insecticides,11625.31
2013,Insecticides,11611.05
2014,Insecticides,10045.86
2015,Insecticides,9547.07
2016,Insecticides,8001.41
2017,Insecticides,11174.26
2018,Insecticides,12990.86
2019,Insecticides,2663.83
2020,Insecticides,2503.56
2021,Insecticides,2625.08
2022,Insecticides,3032.73
1991,Insecticides,4.08
1992,Insecticides,4.1
1993,Insecticides,4.11
1994,Insecticides,4.06
1995,Insecticides,4.0
1996,Insecticides,3.98
1997,Insecticides,4.13
1998,Insecticides,4.31
1999,Insecticides,4.44
2000,Insecticides,4.37
2001,Insecticides,4.27
2002,Insecticides,4.19
2003,Insecticides,3.99
2004,Insecticides,3.66
2005,Insecticides,3.49
2006,Insecticides,3.28
2007,Insecticides,3.24
2008,Insecticides,2.73
2009,Insecticides,2.48
2010,Insecticides,2.36
2011,Insecticides,2.76
2012,Insecticides,2.88
2013,Insecticides,2.82
2014,Insecticides,2.56
2015,Insecticides,2.51
2016,Insecticides,2.48
2017,Insecticides,2.43
2018,Insecticides,2.49
2019,Insecticides,2.53
2020,Insecticides,2.58
2021,Insecticides,2.58
2022,Insecticides,2.58
1990,Insecticides,5.2
1991,Insecticides,5.2
1992,Insecticides,5.2
1993,Insecticides,5.2
1994,Insecticides,5.2
1995,Insecticides,5.2
1996,Insecticides,5.2
1997,Insecticides,5.2
1998,Insecticides,5.2
1999,Insecticides,5.2
2000,Insecticides,5.2
2001,Insecticides,5.2
2002,Insecticides,5.2
2003,Insecticides,5.2
2004,Insecticides,5.2
2005,Insecticides,5.2
2006,Insecticides,5.2
2007,Insecticides,5.2
2008,Insecticides,5.2
2009,Insecticides,5.2
2010,Insecticides,5.2
2011,Insecticides,5.2
2012,Insecticides,5.37
2013,Insecticides,5.54
2014,Insecticides,5.71
2015,Insecticides,5.88
2016,Insecticides,6.05
2017,Insecticides,6.22
2018,Insecticides,6.39
2019,Insecticides,6.56
2020,Insecticides,6.73
2021,Insecticides,6.9
2022,Insecticides,6.9
2006,Insecticides,0.34
2007,Insecticides,0.34
2008,Insecticides,0.34
2009,Insecticides,0.34
2010,Insecticides,8.0
2011,Insecticides,9.0
2012,Insecticides,8.0
2013,Insecticides,6.0
2014,Insecticides,9.0
2015,Insecticides,8.0
2016,Insecticides,4.0
2017,Insecticides,10.96
2018,Insecticides,12.13
2019,Insecticides,18.56
2020,Insecticides,24.24
2021,Insecticides,18.14
2022,Insecticides,18.09
1990,Insecticides,3.44
1991,Insecticides,3.45
1992,Insecticides,3.46
1993,Insecticides,3.47
1994,Insecticides,3.49
1995,Insecticides,3.51
1996,Insecticides,3.43
1997,Insecticides,3.26
1998,Insecticides,3.06
1999,Insecticides,2.71
2000,Insecticides,2.6
2001,Insecticides,2.23
2002,Insecticides,2.39
2003,Insecticides,2.43
2004,Insecticides,2.75
2005,Insecticides,2.64
2006,Insecticides,2.58
2007,Insecticides,2.8
2008,Insecticides,3.31
2009,Insecticides,3.46
2010,Insecticides,3.06
2011,Insecticides,2.61
2012,Insecticides,2.47
2013,Insecticides,2.58
2014,Insecticides,2.74
2015,Insecticides,2.69
2016,Insecticides,2.57
2017,Insecticides,2.51
2018,Insecticides,2.38
2019,Insecticides,2.43
2020,Insecticides,2.37
2021,Insecticides,2.32
2022,Insecticides,2.28
1990,Insecticides,3633.0
1991,Insecticides,4052.79
1992,Insecticides,4472.57
1993,Insecticides,4892.36
1994,Insecticides,5312.14
1995,Insecticides,5731.93
1996,Insecticides,6151.71
1997,Insecticides,6571.5
1998,Insecticides,6991.29
1999,Insecticides,7411.07
2000,Insecticides,7830.86
2001,Insecticides,8250.64
2002,Insecticides,8670.43
2003,Insecticides,9090.21
2004,Insecticides,9510.0
2005,Insecticides,9975.0
2006,Insecticides,7775.0
2007,Insecticides,7775.0
2008,Insecticides,7775.0
2009,Insecticides,7775.0
2010,Insecticides,7775.0
2011,Insecticides,7775.0
2012,Insecticides,7775.0
2013,Insecticides,7775.0
2014,Insecticides,7775.0
2015,Insecticides,7775.0
2016,Insecticides,7775.0
2017,Insecticides,7775.0
2018,Insecticides,7775.0
2019,Insecticides,7775.0
2020,Insecticides,7775.0
2021,Insecticides,7775.0
2022,Insecticides,7775.0
1990,Insecticides,27.0
1991,Insecticides,27.0
1992,Insecticides,27.0
1993,Insecticides,27.0
1994,Insecticides,27.0
1995,Insecticides,16.4
1996,Insecticides,18.4
1997,Insecticides,18.0
1998,Insecticides,30.7
1999,Insecticides,43.4
2000,Insecticides,56.1
2001,Insecticides,68.8
2002,Insecticides,81.5
2003,Insecticides,94.19
2004,Insecticides,106.89
2005,Insecticides,119.59
2006,Insecticides,132.29
2007,Insecticides,144.99
2008,Insecticides,157.69
2009,Insecticides,170.39
2010,Insecticides,183.09
2011,Insecticides,195.79
2012,Insecticides,208.49
2013,Insecticides,221.19
2014,Insecticides,233.88
2015,Insecticides,246.58
2016,Insecticides,259.28
2017,Insecticides,271.98
2018,Insecticides,669.83
2019,Insecticides,1067.67
2020,Insecticides,1137.23
2021,Insecticides,2135.27
2022,Insecticides,2058.5
1990,Insecticides,200.03
1991,Insecticides,113.0
1992,Insecticides,141.0
1993,Insecticides,145.0
1994,Insecticides,167.0
1995,Insecticides,242.5
1996,Insecticides,116.22
1997,Insecticides,140.53
1998,Insecticides,210.04
1999,Insecticides,279.56
2000,Insecticides,349.07
2001,Insecticides,418.59
2002,Insecticides,519.78
2003,Insecticides,541.49
2004,Insecticides,513.69
2005,Insecticides,660.65
2006,Insecticides,1987.15
2007,Insecticides,1718.54
2008,Insecticides,1155.19
2009,Insecticides,591.84
2010,Insecticides,1812.27
2011,Insecticides,2369.76
2012,Insecticides,1677.34
2013,Insecticides,1245.1
2014,Insecticides,2211.5
2015,Insecticides,3143.98
2016,Insecticides,4293.0
2017,Insecticides,5957.0
2018,Insecticides,4249.0
2019,Insecticides,4839.96
2020,Insecticides,2594.32
2021,Insecticides,2594.32
2022,Insecticides,2594.32
1990,Insecticides,78.72
1991,Insecticides,80.18
1992,Insecticides,84.05
1993,Insecticides,88.21
1994,Insecticides,91.23
1995,Insecticides,92.18
1996,Insecticides,92.18
1997,Insecticides,92.18
1998,Insecticides,92.18
1999,Insecticides,92.18
2000,Insecticides,212.49
2001,Insecticides,216.4
2002,Insecticides,202.31
2003,Insecticides,64.06
2004,Insecticides,45.67
2005,Insecticides,57.0
2006,Insecticides,65.12
2007,Insecticides,76.37
2008,Insecticides,92.83
2009,Insecticides,96.16
2010,Insecticides,105.55
2011,Insecticides,92.69
2012,Insecticides,99.27
2013,Insecticides,125.01
2014,Insecticides,132.4
2015,Insecticides,149.64
2016,Insecticides,129.24
2017,Insecticides,138.41
2018,Insecticides,134.33
2019,Insecticides,146.19
2020,Insecticides,162.27
2021,Insecticides,186.91
2022,Insecticides,199.24
1990,Insecticides,4.64
1991,Insecticides,3.67
1992,Insecticides,3.86
1993,Insecticides,1.9
1994,Insecticides,1.61
1995,Insecticides,1.07
1996,Insecticides,0.68
1997,Insecticides,0.55
1998,Insecticides,0.56
1999,Insecticides,0.83
2000,Insecticides,1.01
2001,Insecticides,1.71
2002,Insecticides,1.47
2003,Insecticides,1.25
2004,Insecticides,0.34
2005,Insecticides,0.15
2006,Insecticides,0.05
2007,Insecticides,0.09
2008,Insecticides,0.12
2009,Insecticides,0.11
2010,Insecticides,0.07
2011,Insecticides,0.09
2012,Insecticides,0.16
2013,Insecticides,0.38
2014,Insecticides,0.6
2015,Insecticides,0.74
2016,Insecticides,0.53
2017,Insecticides,0.49
2018,Insecticides,0.81
2019,Insecticides,1.2
2020,Insecticides,1.31
2021,Insecticides,1.44
2022,Insecticides,1.51
1990,Insecticides,35.11
1991,Insecticides,35.11
1992,Insecticides,35.11
1993,Insecticides,35.11
1994,Insecticides,35.11
1995,Insecticides,35.11
1996,Insecticides,36.19
1997,Insecticides,37.27
1998,Insecticides,38.35
1999,Insecticides,39.43
2000,Insecticides,40.51
2001,Insecticides,41.59
2002,Insecticides,42.67
2003,Insecticides,43.75
2004,Insecticides,44.83
2005,Insecticides,65.2
2006,Insecticides,46.79
2007,Insecticides,62.7
2008,Insecticides,107.8
2009,Insecticides,61.64
2010,Insecticides,96.11
2011,Insecticides,114.46
2012,Insecticides,138.76
2013,Insecticides,162.3
2014,Insecticides,155.3
2015,Insecticides,181.24
2016,Insecticides,197.47
2017,Insecticides,213.69
2018,Insecticides,229.92
2019,Insecticides,246.15
2020,Insecticides,163.38
2021,Insecticides,186.49
2022,Insecticides,370.2
1990,Insecticides,731.0
1991,Insecticides,594.0
1992,Insecticides,557.0
1993,Insecticides,553.0
1994,Insecticides,439.0
1995,Insecticides,553.0
1996,Insecticides,495.0
1997,Insecticides,544.0
1998,Insecticides,463.0
1999,Insecticides,413.0
2000,Insecticides,1714.0
2001,Insecticides,1283.66
2002,Insecticides,1466.39
2003,Insecticides,1510.76
2004,Insecticides,1439.73
2005,Insecticides,1663.42
2006,Insecticides,1699.12
2007,Insecticides,1906.3
2008,Insecticides,1857.59
2009,Insecticides,1714.52
2010,Insecticides,1634.9
2011,Insecticides,1929.58
2012,Insecticides,1903.71
2013,Insecticides,3253.62
2014,Insecticides,2012.49
2015,Insecticides,2244.88
2016,Insecticides,2689.26
2017,Insecticides,2541.16
2018,Insecticides,1680.96
2019,Insecticides,2054.14
2020,Insecticides,2575.99
2021,Insecticides,2749.91
2022,Insecticides,2367.2
1990,Insecticides,42.62
1991,Insecticides,44.1
1992,Insecticides,45.89
1993,Insecticides,48.14
1994,Insecticides,49.49
1995,Insecticides,50.71
1996,Insecticides,50.66
1997,Insecticides,49.18
1998,Insecticides,47.14
1999,Insecticides,45.66
2000,Insecticides,44.87
2001,Insecticides,43.8
2002,Insecticides,43.58
2003,Insecticides,44.5
2004,Insecticides,47.14
2005,Insecticides,45.69
2006,Insecticides,41.48
2007,Insecticides,37.4
2008,Insecticides,36.42
2009,Insecticides,36.97
2010,Insecticides,36.62
1990,Insecticides,17.23
1991,Insecticides,17.23
1992,Insecticides,17.23
1993,Insecticides,17.23
1994,Insecticides,17.23
1995,Insecticides,17.23
1996,Insecticides,17.23
1997,Insecticides,16.63
1998,Insecticides,14.67
1999,Insecticides,13.35
2000,Insecticides,11.73
2001,Insecticides,12.48
2002,Insecticides,13.29
2003,Insecticides,14.18
2004,Insecticides,13.78
2005,Insecticides,12.87
2006,Insecticides,12.48
2007,Insecticides,12.74
2008,Insecticides,12.83
2009,Insecticides,13.16
2010,Insecticides,13.42
2011,Insecticides,11.62
2012,Insecticides,12.96
2013,Insecticides,13.15
2014,Insecticides,17.14
2015,Insecticides,14.74
2016,Insecticides,9.91
2017,Insecticides,14.61
2018,Insecticides,13.89
2019,Insecticides,1.19
2020,Insecticides,0.39
2021,Insecticides,0.83
2022,Insecticides,0.68
1990,Insecticides,472.0
1991,Insecticides,462.0
1992,Insecticides,481.0
1993,Insecticides,478.0
1994,Insecticides,316.0
1995,Insecticides,370.0
1996,Insecticides,291.0
1997,Insecticides,445.0
1998,Insecticides,237.0
1999,Insecticides,179.0
2000,Insecticides,289.0
2001,Insecticides,249.0
2002,Insecticides,385.0
2003,Insecticides,357.0
2004,Insecticides,272.0
2005,Insecticides,277.0
2006,Insecticides,253.0
2007,Insecticides,299.0
2008,Insecticides,319.0
2009,Insecticides,303.0
2010,Insecticides,303.0
2011,Insecticides,303.0
2012,Insecticides,303.0
2013,Insecticides,303.0
2014,Insecticides,303.0
2015,Insecticides,303.0
2016,Insecticides,303.0
2017,Insecticides,303.0
2018,Insecticides,303.0
2019,Insecticides,303.0
2020,Insecticides,303.0
2021,Insecticides,303.0
2022,Insecticides,303.0
1990,Insecticides,172.0
1991,Insecticides,172.0
1992,Insecticides,172.0
1993,Insecticides,186.0
1994,Insecticides,176.0
1995,Insecticides,292.0
1996,Insecticides,775.33
1997,Insecticides,1258.67
1998,Insecticides,1742.0
1999,Insecticides,1838.0
2000,Insecticides,1516.19
2001,Insecticides,1448.7
2002,Insecticides,1640.44
2003,Insecticides,1832.17
2004,Insecticides,2023.91
2005,Insecticides,2215.65
2006,Insecticides,2155.12
2007,Insecticides,2929.58
2008,Insecticides,2569.61
2009,Insecticides,1972.09
2010,Insecticides,2304.18
2011,Insecticides,383.41
2012,Insecticides,459.29
2013,Insecticides,697.76
2014,Insecticides,710.4
2015,Insecticides,816.42
2016,Insecticides,799.4
2017,Insecticides,822.28
2018,Insecticides,727.75
2019,Insecticides,812.49
2020,Insecticides,1629.36
2021,Insecticides,1426.6
2022,Insecticides,1343.02
1990,Insecticides,62.0
1991,Insecticides,62.0
1992,Insecticides,62.0
1993,Insecticides,62.0
1994,Insecticides,62.0
1995,Insecticides,62.0
1996,Insecticides,22.0
1997,Insecticides,34.0
1998,Insecticides,36.0
1999,Insecticides,26.0
2000,Insecticides,62.0
2001,Insecticides,31.0
2002,Insecticides,29.44
2003,Insecticides,27.88
2004,Insecticides,26.31
2005,Insecticides,24.75
2006,Insecticides,21.12
2007,Insecticides,30.57
2008,Insecticides,12.04
2009,Insecticides,7.32
2010,Insecticides,11.49
2011,Insecticides,10.59
2012,Insecticides,21.37
2013,Insecticides,27.94
2014,Insecticides,34.51
2015,Insecticides,41.09
2016,Insecticides,47.66
2017,Insecticides,32.76
2018,Insecticides,17.86
2019,Insecticides,22.13
2020,Insecticides,19.69
2021,Insecticides,34.79
2022,Insecticides,25.73
1990,Insecticides,1237.16
1991,Insecticides,915.07
1992,Insecticides,643.33
1993,Insecticides,361.89
1994,Insecticides,439.06
1995,Insecticides,838.41
1996,Insecticides,1641.8
1997,Insecticides,3920.38
1998,Insecticides,3744.88
1999,Insecticides,3121.17
2000,Insecticides,1485.3
2001,Insecticides,1802.76
2002,Insecticides,2783.65
2003,Insecticides,3692.8
2004,Insecticides,4987.32
2005,Insecticides,5907.3
2006,Insecticides,5045.59
2007,Insecticides,3448.97
2008,Insecticides,3851.27
2009,Insecticides,5768.08
2010,Insecticides,8244.8
2011,Insecticides,9263.82
2012,Insecticides,9894.92
2013,Insecticides,11663.14
2014,Insecticides,10289.09
2015,Insecticides,8847.68
2016,Insecticides,7502.93
2017,Insecticides,10110.05
2018,Insecticides,12976.53
2019,Insecticides,14840.18
2020,Insecticides,15752.62
2021,Insecticides,15844.34
2022,Insecticides,15872.26
1990,Insecticides,0.07
1991,Insecticides,0.08
1992,Insecticides,0.06
1993,Insecticides,0.06
1994,Insecticides,0.16
1995,Insecticides,0.32
1996,Insecticides,0.43
1997,Insecticides,0.45
1998,Insecticides,0.4
1999,Insecticides,0.57
2000,Insecticides,0.73
2001,Insecticides,0.98
2002,Insecticides,0.72
2003,Insecticides,1.01
2004,Insecticides,1.01
2005,Insecticides,1.26
2006,Insecticides,0.88
2007,Insecticides,0.73
2008,Insecticides,1.59
2009,Insecticides,1.4
2010,Insecticides,1.35
2011,Insecticides,0.2
2012,Insecticides,0.18
2013,Insecticides,0.0
2014,Insecticides,0.23
2015,Insecticides,0.22
2016,Insecticides,0.39
2017,Insecticides,0.35
2018,Insecticides,0.49
2019,Insecticides,0.47
2020,Insecticides,0.42
2021,Insecticides,0.51
2022,Insecticides,0.55
1990,Insecticides,0.19
1991,Insecticides,0.34
1992,Insecticides,0.36
1993,Insecticides,0.33
1994,Insecticides,0.19
1995,Insecticides,0.22
1996,Insecticides,0.4
1997,Insecticides,0.58
1998,Insecticides,0.65
1999,Insecticides,0.76
2000,Insecticides,0.69
2001,Insecticides,0.76
2002,Insecticides,0.61
2003,Insecticides,0.5
2004,Insecticides,0.4
2005,Insecticides,0.3
2006,Insecticides,0.29
2007,Insecticides,0.22
2008,Insecticides,0.24
2009,Insecticides,0.2
2010,Insecticides,0.5
2011,Insecticides,0.43
2012,Insecticides,0.39
2013,Insecticides,0.11
2014,Insecticides,0.25
2015,Insecticides,0.34
2016,Insecticides,0.37
2017,Insecticides,0.32
2018,Insecticides,0.36
2019,Insecticides,0.37
2020,Insecticides,0.4
2021,Insecticides,0.46
2022,Insecticides,0.48
1992,Insecticides,227.0
1993,Insecticides,115.0
1994,Insecticides,93.0
1995,Insecticides,122.0
1996,Insecticides,112.0
1997,Insecticides,118.0
1998,Insecticides,103.0
1999,Insecticides,80.0
2000,Insecticides,57.0
2001,Insecticides,66.0
2002,Insecticides,54.0
2003,Insecticides,42.0
2004,Insecticides,51.0
2005,Insecticides,17.0
2006,Insecticides,20.0
2007,Insecticides,22.0
2008,Insecticides,12.0
2009,Insecticides,27.0
2010,Insecticides,27.0
2011,Insecticides,27.0
2012,Insecticides,27.0
2013,Insecticides,27.0
2014,Insecticides,27.0
2015,Insecticides,27.0
2016,Insecticides,27.0
2017,Insecticides,27.0
2018,Insecticides,27.0
2019,Insecticides,27.0
2020,Insecticides,27.0
2021,Insecticides,27.0
2022,Insecticides,27.0
1991,Insecticides,0.45
1992,Insecticides,0.45
1993,Insecticides,0.45
1994,Insecticides,0.45
1995,Insecticides,0.44
1996,Insecticides,0.46
1997,Insecticides,0.54
1998,Insecticides,0.65
1999,Insecticides,0.76
2000,Insecticides,0.84
2001,Insecticides,0.91
2002,Insecticides,0.98
2003,Insecticides,1.07
2004,Insecticides,1.15
2005,Insecticides,1.24
2006,Insecticides,1.31
2007,Insecticides,1.39
2008,Insecticides,1.48
2009,Insecticides,1.56
2010,Insecticides,1.65
2011,Insecticides,1.74
2012,Insecticides,1.82
2013,Insecticides,1.9
2014,Insecticides,1.99
2015,Insecticides,2.04
2016,Insecticides,2.1
2017,Insecticides,2.14
2018,Insecticides,2.27
2019,Insecticides,2.4
2020,Insecticides,2.53
2021,Insecticides,1.72
2022,Insecticides,1.32
1990,Insecticides,19.0
1991,Insecticides,18.0
1992,Insecticides,27.9
1993,Insecticides,17.0
1994,Insecticides,19.0
1995,Insecticides,21.04
1996,Insecticides,16.1
1997,Insecticides,20.02
1998,Insecticides,23.0
1999,Insecticides,22.0
2000,Insecticides,9.96
2001,Insecticides,8.45
2002,Insecticides,10.05
2003,Insecticides,13.55
2004,Insecticides,9.74
2005,Insecticides,7.23
2006,Insecticides,7.94
2007,Insecticides,9.86
2008,Insecticides,8.69
2009,Insecticides,7.35
2010,Insecticides,5.74
2011,Insecticides,6.37
2012,Insecticides,7.01
2013,Insecticides,6.69
2014,Insecticides,6.88
2015,Insecticides,6.3
2016,Insecticides,7.0
2017,Insecticides,7.0
2018,Insecticides,13.0
2019,Insecticides,10.0
2020,Insecticides,17.0
2021,Insecticides,16.0
2022,Insecticides,18.0
1990,Insecticides,11.33
1991,Insecticides,8.82
1992,Insecticides,35.28
1993,Insecticides,34.46
1994,Insecticides,33.63
1995,Insecticides,37.27
1996,Insecticides,40.92
1997,Insecticides,182.59
1998,Insecticides,101.06
1999,Insecticides,64.66
2000,Insecticides,28.27
2001,Insecticides,42.31
2002,Insecticides,56.36
2003,Insecticides,70.4
2004,Insecticides,84.44
2005,Insecticides,98.49
2006,Insecticides,112.53
2007,Insecticides,126.57
2008,Insecticides,140.62
2009,Insecticides,154.66
2010,Insecticides,168.7
2011,Insecticides,154.81
2012,Insecticides,183.37
2013,Insecticides,291.05
2014,Insecticides,256.59
2015,Insecticides,176.64
2016,Insecticides,191.55
