Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cameroon,2227.46,1503.7,1843.8100000000002,1245.32,646.8399999999999,48.35,180.07999999999998,630.12,258.02,653.0,545.0,687.0,2191.23,2243.7400000000002,2525.18,2254.6600000000003,2752.9,2819.88,2594.81,2319.21,3470.3999999999996,3964.2400000000002,4010.74,4536.14,5479.55,5838.139999999999,4831.12,7068.639999999999,7321.6,8194.82,10660.81,9905.77,9905.77
Canada,29568.0,29477.5,29387.0,29296.5,29206.0,32234.969999999998,35263.94,38292.909999999996,41321.89,44350.86,39718.43,38501.0,34264.57,35628.14,36163.71,36382.29,36585.61,45146.450000000004,53707.3,54529.399999999994,61049.99999999999,62107.2,73508.9,81659.8,76314.0,75318.3,90926.0,98304.0,87632.0,78893.0,92960.0,97692.0,97692.0
Cayman Islands,569.33,569.3299999999999,569.3399999999999,569.33,569.33,569.33,569.33,569.33,569.33,569.34,569.33,569.33,569.34,569.33,569.33,569.34,569.34,569.3299999999999,569.33,569.32,569.32,569.35,569.34,569.33,569.33,569.3299999999999,569.33,569.34,569.33,594.24,644.03,693.8100000000001,718.7099999999999
Central African Republic,153.14000000000001,110.99999999999999,72.02,54.67,92.11,120.81,119.5,103.87,82.22,70.05,42.019999999999996,26.58,21.22,35.32,38.809999999999995,31.0,21.22,37.92,44.9,52.46,48.13,48.7,36.68,27.88,20.97,24.4,41.08,44.74,55.099999999999994,48.800000000000004,63.279999999999994,203.88,274.2
Chad,60.28,60.27,60.28,60.279999999999994,60.28,57.86,55.440000000000005,53.019999999999996,53.02,53.02,53.02,53.02,53.02,53.02,53.03,53.04,53.06,53.080000000000005,53.1,53.120000000000005,53.14,52.25,50.45,47.74,45.019999999999996,43.660000000000004,43.65,44.98,46.31,47.63999999999999,48.98,50.31,50.97
Chile,3368.91,3356.0,3179.21,3175.1499999999996,3293.86,3678.63,4511.6,4903.71,4917.4,4578.98,4802.36,5125.77,5643.25,5549.19,5917.47,6429.070000000001,6554.88,6537.68,6468.860000000001,7013.7,6895.42,7027.67,7420.7300000000005,8059.7699999999995,8359.48,9651.25,11816.85,13564.0,13039.24,12943.95,14129.039999999999,16996.84,18430.74
China,154626.51,154600.92,160987.88,169583.2,194845.25,215277.04,225428.12,235141.75,241540.65,261009.19999999998,250631.61000000002,249212.91,258217.77999999997,260473.57,271520.95,284981.41,299316.26,315919.86,324563.86,331298.46,339849.77999999997,345719.28,350468.62,351036.72,349219.95,346087.18,338311.7,323252.77,294682.45,273569.5,258757.95,244869.5,235760.35
"China, Hong Kong SAR",115.0,95.0,84.0,74.0,71.0,45.0,45.4,45.8,46.2,46.6,47.0,53.0,84.0,90.0,51.0,45.0,48.0,45.0,55.0,46.0,41.0,63.0,56.0,57.0,58.0,51.0,65.0,58.0,68.0,55.0,55.0,45.0,50.0
"China, Macao SAR",98.01,92.4,91.33999999999999,89.10999999999999,97.82,93.8,89.08000000000001,67.03,65.36,53.800000000000004,56.72,50.18,63.239999999999995,93.26,142.91,134.82,108.28999999999999,59.95,62.25,69.29,77.53,84.67,93.66,122.75,148.53,177.65,202.54000000000002,225.86,242.99,265.51,309.5,399.44,444.4
"China, Taiwan Province of",9954.0,9954.0,9954.0,9954.0,9954.0,9954.0,9954.0,9364.0,8931.0,11441.0,9007.0,8476.0,10547.0,10143.0,9703.0,9228.0,9014.0,9492.0,8780.0,8589.0,7850.0,8254.0,9396.0,9632.0,8619.0,9296.0,9504.0,10549.0,10549.0,10549.0,10549.0,10549.0,10549.0
