Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Portugal,9357.0,9357.0,6117.0,8985.0,9580.0,11815.0,12457.0,12750.0,14389.0,15411.0,15470.0,15503.0,17452.0,17030.0,16942.0,16353.0,15702.0,16682.39,17080.26,13984.91,13774.18,14562.41,12869.13,10122.52,12888.230000000001,10013.539999999999,9772.28,8103.160000000001,8057.3,9865.81,9706.26,9583.2,9039.55
Qatar,253.25,270.3,325.25,322.19,336.09000000000003,340.69,397.16999999999996,453.78999999999996,470.34999999999997,445.91,341.65,318.8,360.35999999999996,414.99,525.23,832.57,1012.47,998.23,1375.35,2558.51,3184.9199999999996,2539.9700000000003,1290.1299999999999,826.19,824.0600000000001,893.1700000000001,780.5500000000001,871.6999999999999,797.59,842.6899999999999,945.57,1152.85,1256.49
Republic of Korea,25082.0,27476.0,26718.0,25999.0,25922.0,25845.0,24620.0,24819.0,22103.0,25837.0,25684.0,28218.0,25844.0,24610.0,25323.0,24506.0,24076.0,24262.0,25368.0,22790.0,20431.0,19131.0,17438.0,18708.0,19788.0,19482.0,19798.0,20043.0,18716.0,16745.0,17132.0,19014.0,19882.0
Republic of Moldova,,,2897.0,2501.0,2553.55,2606.11,2658.66,2711.21,2763.76,2816.32,2868.87,2876.28,2606.44,2715.73,2915.4,2394.93,2466.37,2556.0299999999997,2924.6299999999997,2308.27,2466.13,2453.9500000000003,2316.2200000000003,2409.25,2500.4,2739.0,2981.0,3116.0,3349.4500000000003,3374.7000000000003,3354.9,5166.75,6978.599999999999
Romania,25255.0,19898.0,15134.0,24252.0,21811.0,20113.0,17425.0,15349.0,13979.0,11280.0,9427.4,7871.1,7875.7,6928.1,6778.2,7565.7,6733.2,6314.0,7193.7,6548.7,7249.2,6582.9,6418.7,10585.64,10021.23,11483.9,10812.73,11548.21,11107.65,9046.65,8700.09,8369.19,7957.0199999999995
Russian Federation,,,25961.0,25961.0,25961.0,25961.0,25961.0,25961.0,27372.06,28783.11,30194.170000000002,31605.23,33016.29,34427.34,35838.4,37249.45,38660.509999999995,40071.560000000005,41482.61,42893.68,44304.74,45715.8,47126.850000000006,48537.920000000006,49948.97,51360.04,71057.0,79522.64,74671.56,77306.75,90534.96,97018.44,97018.44
Rwanda,157.0,107.0,97.0,127.39999999999999,157.8,188.2,218.60000000000002,249.0,157.0,152.0,147.0,72.0,106.34,140.68,159.54,222.92,288.72,398.11,321.75,1187.6000000000001,953.85,181.6,925.52,1841.5,2060.91,2484.21,2027.0200000000002,2027.0200000000002,2027.0200000000002,2027.0200000000002,2027.0200000000002,2027.0200000000002,2027.0200000000002
"Saint Helena, Ascension and Tristan da Cunha",0.45,0.45,0.44,0.44,0.44,0.43000000000000005,0.43000000000000005,1.1400000000000001,2.1,3.26,2.61,2.36,4.6000000000000005,5.7,9.09,6.18,5.8,2.29,2.48,3.26,3.9,3.45,2.43,1.98,8.33,8.54,9.23,4.27,5.59,6.39,7.25,5.68,4.91
Saint Kitts and Nevis,92.45,92.45,92.44,94.22,99.69,106.91,104.4,100.89999999999999,98.37,97.99,200.35,289.41,467.76,363.87,266.48,100.94,96.39,103.92999999999999,90.34,99.25,90.21000000000001,87.42,96.02,98.89,109.76,115.38,120.62,117.44,101.42,101.41999999999999,101.41999999999999,101.42,101.42
Saint Lucia,671.21,625.72,557.5999999999999,492.07,436.47,398.34000000000003,354.89,333.35,289.03999999999996,295.15,261.51,230.23,248.89000000000001,295.1,325.30999999999995,280.99,211.36,173.01999999999998,174.25,204.15,214.73999999999998,217.63,212.17,209.65000000000003,236.14,264.47,257.32,227.23000000000002,203.98000000000002,221.08,242.44,256.86,264.07
Saint Vincent and the Grenadines,231.17,224.82,332.2,370.66,404.82,358.95,415.67,404.82,389.25,317.90000000000003,276.90999999999997,222.99,182.0,224.31,223.45000000000002,334.16,297.07,275.52,160.34,156.34,175.17,420.81,420.40999999999997,399.76,156.38,151.9,159.39000000000001,144.49,131.19,120.63,125.51,137.06,142.83
Samoa,48.07,48.07,36.0,23.53,48.269999999999996,44.18,23.66,29.779999999999998,12.05,10.02,6.77,12.41,18.04,23.689999999999998,29.330000000000002,34.95,40.589999999999996,46.24,51.87,57.51,63.14,68.79,74.43,80.05,85.69,91.34,96.97,102.61,196.7,111.6,185.14,272.15,272.15
Sao Tome and Principe,7.15,7.14,7.15,7.1499999999999995,7.15,7.14,7.15,7.15,7.14,7.14,5.19,4.31,3.9899999999999998,5.55,5.33,6.7,6.34,11.35,12.74,15.52,18.63,19.39,23.28,19.330000000000002,18.72,16.36,17.59,18.9,19.419999999999998,20.99,24.740000000000002,24.66,24.6
Saudi Arabia,994.0,994.0,994.0,994.0,994.0,994.0,994.0,2513.0,2683.36,2853.75,3024.11,3194.49,3364.87,3535.22,3705.6,3875.96,4046.35,4216.71,4416.01,4615.32,4814.610000000001,5013.89,5213.21,5412.5,6259.68,7106.84,7954.02,8801.189999999999,9648.36,10495.54,7255.65,7255.65,7255.65
Senegal,384.0,384.0,384.0,357.55,547.3000000000001,435.31,411.33,437.22999999999996,450.71,470.88,491.03,282.02,328.0,373.99,419.97,465.94,511.95000000000005,557.9,603.9100000000001,649.88,695.8599999999999,741.85,787.83,722.53,609.7900000000001,708.53,830.75,163.31,300.9,438.49,576.0799999999999,576.0799999999999,576.0799999999999
Serbia,,,,,,,,,,,,,,,,,2240.1,2405.15,2268.27,1942.5300000000002,1940.66,2567.2799999999997,3385.66,3647.76,3803.72,3257.0,2781.82,2310.69,2450.77,2593.51,2518.62,2266.91,2141.06
Serbia and Montenegro,,,1335.21,1821.86,1707.07,1474.66,1448.77,1364.22,1411.8300000000002,1337.82,1255.99,1329.18,1168.38,1028.98,1049.54,1049.54,,,,,,,,,,,,,,,,,
Seychelles,47.4,49.07000000000001,51.15,68.42,66.06,107.63,108.89,123.15,87.03999999999999,72.64,61.75,55.44,127.30000000000001,123.47,124.68,68.38000000000001,77.93,132.94,370.3,531.27,630.31,439.92999999999995,314.65999999999997,157.76,111.14999999999999,84.93,101.02000000000001,98.19,97.69999999999999,103.93,118.13,121.21,122.76
Sierra Leone,261.39,261.4,261.39,261.39,261.39,261.38,261.38,261.39,261.38,261.4,225.29,153.09,85.72000000000001,59.230000000000004,73.67,88.1,102.53,116.97,131.39,145.82999999999998,160.27,174.72,189.15,203.58,225.94,341.67,370.96,405.88,342.61,360.95,360.95000000000005,360.94,360.95
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,28.54,25.53,29.43,31.560000000000002,35.690000000000005,35.12,40.17,49.160000000000004,48.92,48.51,41.27,37.63
Slovakia,,,,3889.7,4158.5,6146.9,3905.4,3247.2,3582.5,2831.9,1457.4899999999998,1549.8700000000001,1642.21,1515.43,1573.03,1545.6000000000001,1586.97,1595.47,1498.24,1654.12,1880.75,1410.5,1563.78,1620.28,1721.83,1567.86,1520.0,1724.0,1785.0,1859.0,1810.0,1620.0,1511.0
Slovenia,,,1309.0,1112.0,944.0,987.0,953.0,1245.0,1091.0,1134.5,1468.0,1387.0,1164.1,1361.0,1557.98,1383.88,1280.98,1155.23,1218.15,1162.87,1134.3700000000001,1121.91,1016.08,917.36,1009.0,1046.61,1155.97,1087.02,1171.32,973.2199999999999,963.76,907.2,825.98
Solomon Islands,58.2,58.199999999999996,58.21,58.190000000000005,58.2,58.199999999999996,55.38,49.730000000000004,41.27,32.81,24.330000000000002,15.860000000000001,14.29,20.29,26.669999999999998,31.959999999999997,34.17,40.81,36.34,44.69,54.239999999999995,66.45,72.25,72.31,64.15,60.089999999999996,63.379999999999995,65.17,54.800000000000004,39.64,39.65,39.660000000000004,39.660000000000004
Somalia,34.66,24.44,19.08,23.05,42.8,31.09,24.28,3.15,0.95,15.36,20.87,33.72,25.38,38.93,74.17,92.35,123.58,117.86999999999999,135.7,123.39,125.73,175.18,250.52,330.46000000000004,372.84,356.49,299.44,316.0,443.28999999999996,616.77,722.14,746.84,746.84
South Africa,16582.0,16582.0,16582.0,16582.0,16582.0,18025.0,19507.989999999998,21596.0,24304.010000000002,26098.800000000003,26856.989999999998,25800.05,27246.68,27369.95,27992.37,29696.71,28717.86,29468.41,33073.020000000004,32608.5,33598.96,33334.34,34394.87,36324.38,38387.18,37740.47,35862.46,39492.46,39023.770000000004,39144.119999999995,41642.77,42620.17,42243.58
Spain,39562.0,39147.0,31839.0,29408.0,31244.0,27852.0,33236.0,34023.0,35070.0,33614.0,34597.0,35700.0,40727.0,41586.0,47445.0,41017.0,39767.0,39286.0,40719.0,35199.0,39043.0,53549.0,63490.52,71359.05,78752.09,77149.20999999999,76940.63,71987.32,85387.86,75190.44,74824.64,76173.56999999999,56276.94
Sri Lanka,1571.33,1409.15,2144.31,1753.2,1860.7,1735.5,1654.41,1622.4,1532.4099999999999,1766.9099999999999,1695.71,1705.0500000000002,1714.3899999999999,1723.73,1733.07,1742.41,1751.75,1439.8,1152.39,1170.3600000000001,1450.54,1290.31,1112.8,1235.31,933.3399999999999,2539.92,1925.0,1266.0,2261.0,1526.43,2573.15,2777.7000000000003,2140.09
Sudan,,,,,,,,,,,,,,,,,,,,,,,2469.47,2665.69,2861.8900000000003,3058.11,3254.32,2379.65,5486.86,4082.5299999999997,4082.5299999999997,4082.5299999999997,4082.5299999999997
Sudan (former),1643.0,1643.0,1643.0,484.0,1015.0,1303.0,1373.0,1223.0,904.0,585.0,266.0,517.66,769.32,1021.0,1272.66,1524.32,1268.83,1055.1699999999998,1352.3600000000001,2425.77,2862.47,2862.47,,,,,,,,,,,
Suriname,217.0,207.0,197.5,188.0,178.5,169.0,142.0,139.0,151.32999999999998,163.67000000000002,176.0,273.08000000000004,370.16,431.07,357.87,401.81,370.78,397.75,501.05,615.6600000000001,477.87,936.24,633.9200000000001,537.49,622.53,978.03,617.0,651.3,789.0,530.58,377.75,906.97,991.89
Sweden,2310.0,1841.0,1497.0,1466.0,1962.0,1225.0,1529.0,1534.0,1555.0,1602.0,1721.0,1789.0,2198.0,2549.0,1353.0,2132.0,2220.0,2157.0,2352.0,1935.0,1982.0,1781.0,1814.0,2177.88,2493.48,2321.28,1955.78,2060.85,1870.6999999999998,1800.86,2047.47,2138.0,2297.66
Switzerland,2282.0,2055.9,2018.7,1934.5,1922.5,1826.3,1746.3,1644.3,1563.6,1526.6000000000001,1576.9,1561.8999999999999,1526.6000000000001,1476.7,1390.7,1388.3,1359.0400000000002,2099.3,2237.36,2224.02,2148.49,2284.09,2231.92,2277.3399999999997,2232.52,2207.49,2139.88,2007.1599999999999,2019.6,1921.1,1884.72,2219.92,2166.32
Syrian Arab Republic,845.0,1089.66,1157.61,1516.44,1326.05,1244.85,1065.25,1538.28,1730.69,1699.58,1107.3500000000001,987.13,1099.8999999999999,1429.31,1597.75,1578.98,1475.3799999999999,1308.8600000000001,1210.73,1400.6299999999999,1614.07,1897.27,1897.27,1897.27,1897.27,1897.27,1897.27,1897.27,1897.27,1897.27,1897.27,1897.27,1897.27
Tajikistan,,,130.22,130.22,130.21,130.22,130.21,130.22,130.23000000000002,130.21,130.1,129.84,129.47,129.1,128.72,128.35,127.98,127.6,127.23,126.87,126.49000000000001,126.12,125.72999999999999,125.37,124.99000000000001,124.61,147.01,309.01,386.46,468.82,439.21,570.25,635.78
Thailand,18849.0,18849.0,18849.0,18849.0,20448.0,24062.0,23621.5,23960.0,19212.0,22761.0,20334.0,30629.679999999997,40925.32,51221.0,65626.5,43831.0,41220.0,66858.0,65423.0,67933.0,68986.0,87191.0,69921.0,8136.0,21800.0,26167.66,30535.329999999998,34037.479999999996,34776.61,28073.800000000003,19006.559999999998,8745.25,5806.02
Timor-Leste,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.12,3.11,3.12,2.6799999999999997,3.3099999999999996,5.02,8.27,11.52,14.77,18.04,21.29,24.54,29.53,36.25,44.72,53.18,58.81,69.55999999999999,88.55999999999999,118.61,138.26,148.07999999999998
Togo,324.0,213.0,192.0,206.0,203.0,200.0,197.0,228.07,259.13,290.2,321.27,352.34,383.4,414.46999999999997,584.76,203.09,268.78,262.45,229.94,172.19,242.01,145.73999999999998,341.43,371.9,812.89,1117.98,1246.2,1263.0,1356.0,1425.0,1425.0,1425.0,1425.0
Tokelau,3.66,3.6700000000000004,3.66,3.6599999999999997,3.66,3.6599999999999997,3.6599999999999997,3.67,3.66,3.66,3.6599999999999997,3.2600000000000002,7.209999999999999,8.44,8.02,5.58,4.69,4.37,2.09,1.25,2.25,3.2300000000000004,4.220000000000001,5.2,6.17,7.5200000000000005,9.27,8.84,5.8,14.280000000000001,36.809999999999995,61.27,73.47
Tonga,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,11.209999999999999,15.09,12.049999999999999,9.0,24.0,22.0,22.0,22.0,22.0,22.0
Trinidad and Tobago,336.0,387.0,385.0,314.0,298.0,284.0,269.0,253.0,239.0,225.0,212.0,195.0,181.0,167.0,150.0,136.0,122.0,108.0,93.0,80.0,125.5,172.0,515.75,859.0,1173.0,1173.0,1173.0,1173.0,1173.0,1173.0,1173.0,1173.0,1173.0
Tunisia,909.0,909.0,909.0,909.0,909.0,909.0,909.0,909.0,1172.19,1215.3899999999999,1411.78,1379.45,1155.47,1272.28,1582.21,1492.72,1290.48,1363.1899999999998,1776.6499999999999,1495.28,2174.91,2135.1,3076.3900000000003,2461.99,2765.9700000000003,2817.44,3133.94,2670.39,3211.47,3511.13,3412.08,3299.06,3246.65
Turkmenistan,,,730.77,730.77,730.77,730.77,730.77,699.51,774.63,771.96,800.55,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,722.75,2049.2999999999997,1294.4,1255.2,1647.2000000000003
Turks and Caicos Islands,26.18,26.19,26.2,26.189999999999998,26.19,26.18,26.18,26.18,26.18,17.47,8.799999999999999,0.07,0.09000000000000001,0.06,28.03,52.809999999999995,79.76,74.03,64.37,61.21,71.34,85.69,91.42,88.53,88.53999999999999,88.54,88.55,88.55,88.55,88.52,88.53999999999999,88.54,88.53
Tuvalu,1.8399999999999999,1.8299999999999998,1.8299999999999998,1.8299999999999998,1.8399999999999999,1.8399999999999999,1.8399999999999999,1.8199999999999998,1.7399999999999998,1.46,0.96,1.14,1.49,2.0300000000000002,2.13,2.0,2.0,1.92,2.09,2.18,2.17,2.17,2.16,2.16,2.16,2.18,2.17,2.17,2.17,2.17,2.17,2.17,2.17
Türkiye,29918.0,24343.0,27110.0,28042.0,24219.0,27328.0,30286.0,34431.0,30162.0,33089.0,33471.0,25539.0,27915.0,33075.0,28831.0,40332.0,27421.0,48715.51,37640.2,37651.15,38554.69,39534.43,42610.59,39440.0,39722.72,39026.0,50220.22,54110.95,60230.96,51454.44,53490.020000000004,52875.630000000005,52963.0
USSR,86200.0,92200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,534.5600000000001,534.57,534.56,534.56,571.1099999999999,781.41,783.5,927.39,1137.8600000000001,1611.65,1633.74,1402.84,1281.03,1339.5900000000001,1646.25,1711.88,2037.6399999999999,2080.43,2238.7,2445.48,2990.24,3658.46,4324.48,4882.91,5655.0599999999995,6298.139999999999,6284.06,6303.83,6037.93,6240.43,6027.41,6015.66,6009.780000000001
Ukraine,,,66772.0,61843.469999999994,56914.92,51986.4,47057.86,42129.32,37200.78,32272.239999999998,27343.7,22415.18,17486.63,12558.1,15344.400000000001,23021.7,28775.399999999998,35540.0,53227.5,35706.700000000004,61891.600000000006,78673.7,90049.8,85988.8,77294.0,64306.259999999995,51318.5,38330.74,25343.0,24325.0,24622.0,26974.0,19435.0
United Kingdom of Great Britain and Northern Ireland,29517.0,29022.0,31077.0,32387.0,33929.0,33743.0,35579.0,35490.0,35422.0,35537.0,33031.28,32893.1,30995.26,30754.4,31223.91,31415.27,22588.089999999997,22331.7,21596.68,21324.219999999998,16770.87,16401.66,17718.64,17673.46,18392.45,18475.05,19298.0,19116.0,19300.0,19605.670000000002,15023.07,14794.060000000001,16983.33
United Republic of Tanzania,20.0,20.0,20.0,20.0,715.0,557.0,7.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
United States of America,400522.33999999997,395079.01,401883.07999999996,390543.09,425922.68,423201.53,433180.36,431819.2,424562.11,433633.96,430005.20999999996,411407.94,413313.02999999997,407053.46,418030.39,409730.05,392810.67,400068.14,379202.92000000004,358337.7,374818.2,391298.7,407779.2,418673.91,413134.79000000004,423474.93,451666.82999999996,449713.05000000005,457385.42999999993,495672.66,474707.49000000005,433770.91,467676.6
Uruguay,1762.01,1762.01,2072.03,1634.02,2272.08,2413.02,3444.01,3362.05,4239.03,3925.03,3650.08,4433.04,5133.12,7431.71,8983.47,9167.300000000001,9082.45,14022.939999999999,13289.75,13441.74,14896.419999999998,17442.56,23466.1,19028.6,22936.8,13989.6,13313.1,14879.61,16446.12,16446.12,16446.12,16446.12,16446.12
Vanuatu,172.49,138.13,100.88,77.63000000000001,84.03,88.6,78.25999999999999,71.72,68.99000000000001,66.24000000000001,64.7,64.30999999999999,65.12,65.92,66.72,67.53,73.17999999999999,79.24,85.71,70.93,47.599999999999994,23.64,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79,15.79
Venezuela (Bolivarian Republic of),1822.0,2409.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0,3928.0
Viet Nam,20912.0,20912.0,20912.0,20912.0,20912.0,24896.0,32745.0,33019.0,20841.0,16695.0,16502.0,19154.0,23511.41,27868.81,32226.210000000003,36583.619999999995,41531.75,46479.87,51428.01,55492.350000000006,57104.79,68308.74,76833.59,83390.36,101920.59,102408.15,103060.66,82408.03,139416.02,134741.78,89334.84,148668.66,161908.06
Wallis and Futuna Islands,10.25,10.24,10.27,10.24,10.26,10.25,10.24,10.24,10.24,10.25,8.6,6.340000000000001,7.18,7.739999999999999,9.33,8.5,9.65,10.370000000000001,10.37,10.379999999999999,10.37,10.37,10.37,10.37,10.370000000000001,10.37,10.38,10.37,10.37,10.38,10.38,10.370000000000001,10.38
Yemen,98.34,186.97,364.24,441.05,573.52,586.8299999999999,638.16,655.74,838.6,931.8100000000001,899.49,781.33,926.4599999999999,1026.48,1209.62,1248.87,1268.62,977.33,724.35,597.12,694.91,819.35,953.55,1506.28,1483.52,1357.2,718.8000000000001,576.12,837.89,1147.21,1504.0700000000002,1504.0800000000002,1504.0800000000002
Yugoslav SFR,2575.0,2857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,1080.0,1080.0,1080.0,1080.0,1080.0,716.0,1670.0,1797.5,1925.02,2052.54,2180.06,2307.56,2435.0699999999997,2562.6,2690.11,2817.62,2945.12,3072.66,3200.16,3327.67,3455.18,3582.71,3710.2200000000003,3837.73,3965.23,4092.77,4220.2699999999995,4347.780000000001,4196.64,4196.64,4196.64,4196.64,4196.64
Zimbabwe,5727.0,6753.0,3303.0,1716.0,1664.0,2599.0,2538.0,2762.0,2883.0,2918.18,2953.36,2988.54,3023.7200000000003,3058.9,3094.08,3129.2599999999998,3164.45,3199.64,3234.81,3269.9900000000002,3305.17,3340.36,3375.5299999999997,2550.07,2185.0699999999997,2185.0699999999997,2185.0699999999997,2185.0699999999997,2185.0699999999997,2185.0699999999997,2185.0699999999997,2185.0699999999997,2185.0699999999997
